# en|category|emoji|日本語|example sentence|simple English definition (optional)
# emoji starting with ~ is decoration only (never used as a picture answer)
improve|thinking|📈💪|良くなる・改善する|I want to improve my English skills.|to become better
describe|thinking|🖼️🗣️|(様子を)説明する|Please describe your dog to me.|to say what something or someone is like
consider|thinking|🤔📝|よく考える|I will consider your idea.|to think carefully about something
encourage|thinking|📣💪|励ます|My teacher always encourages me.|to give someone hope or confidence to do something
communicate|thinking|💬🔄|伝え合う|We communicate in English at school.|to share ideas or feelings with other people
protect|thinking|🛡️|守る|We must protect the environment.|to keep someone or something safe from harm
believe|thinking|🙏💭|信じる|I believe you can do it.|to feel sure that something is true
realize|thinking|💡|気づく|I realized my mistake.|to suddenly understand or notice something
achieve|thinking|🏆|達成する|She achieved her dream.|to succeed in doing something after trying hard
solve|thinking|🧩✅|解決する|Can you solve this problem?|to find the answer to a problem
suggest|thinking|💡🗣️|提案する|She suggested a good idea.|to give an idea for someone to think about
waste|thinking|🗑️💸|無駄にする|Don't waste your money.|to use something badly so that it is lost
imagine|thinking|💭✨|想像する|Imagine a world without cars.|to make a picture of something in your mind
discover|thinking|🔭✨|発見する|Scientists discovered a new star.|to find something for the first time
various|qualities|🎨🔀|様々な|There are various kinds of food.|of many different kinds
polite|qualities|🙏😊|礼儀正しい|She is very polite.|speaking and acting in a kind and correct way
active|qualities|⚡🏃|活発な|My little brother is very active.|moving around and doing many things
proud|qualities|🏆😌|誇りに思う|I am proud of my sister.|happy about something that you or others did
environment|society|🌍🌳|環境|Cars are bad for the environment.|the air, water, and land around us
information|society|📰💡|情報|I found information on the internet.|facts about something
experience|society|🎒🗺️|経験|Travel gives you good experience.|something that happens to you and teaches you
opportunity|society|🚪✨|機会|This job is a great opportunity.|a good time or chance to do something
culture|society|🎭🌏|文化|I want to learn Japanese culture.|the way of life, art, and customs of a group of people
history|society|📜🏛️|歴史|We study history at school.|the things that happened in the past
future|society|🔮🚀|未来|What will the future look like?|the time that will come
problem|society|❗🧩|問題|We need to solve this problem.|something difficult that needs to be fixed
reason|society|❓💡|理由|Tell me the reason for this.|why something happens
idea|society|💡|考え・アイデア|That's a great idea!|a thought or plan in your mind
opinion|society|🗣️💭|意見|What is your opinion about this?|what you think about something
fact|society|📌✅|事実|That is an important fact.|something that is true
example|society|📝👉|例|Give me an example, please.|one thing that shows what other things are like
result|society|🏁📊|結果|The result of the test was good.|what happens because of something
# ---- added: A2-B1 vocabulary ----
accept|thinking|~🤲✅|受け入れる|I accepted his invitation.|to agree to take something that is offered
allow|thinking|~🙆|許す・許可する|My parents allow me to use the computer.|to let someone do something
appear|thinking|~✨|現れる|A rainbow appeared in the sky.|to come into sight
attend|thinking|~🪑|出席する|Many people attended the meeting.|to go to an event, class, or school
avoid|thinking|~↩️|避ける|Try to avoid fast food.|to stay away from something
belong|thinking|~🏷️|属する・〜のものである|This bag belongs to me.|to be owned by someone; or to be a member of a group
cause|thinking|~➡️💥|引き起こす・原因|The storm caused a lot of damage.|to make something happen
celebrate|thinking|~🎉|祝う|We celebrated her birthday.|to do something special for an important day
complain|thinking|~😤|文句を言う|He always complains about the food.|to say that you are not happy about something
create|thinking|~🎨|創造する・作り出す|She created a new game.|to make something new
depend|thinking|~🔗|〜次第である・頼る|It depends on the weather.|to change because of something else; or to need someone's help
destroy|thinking|~🏚️|破壊する|The fire destroyed the house.|to damage something so badly that it cannot be used
develop|thinking|~📈|発展する・開発する|The city developed quickly.|to grow, or to make something grow bigger or better
disappear|thinking|~💨|消える|The sun disappeared behind the clouds.|to go out of sight
discuss|thinking|~🗣️🗣️|話し合う|We discussed the plan in class.|to talk about something with other people
earn|thinking|~💴|稼ぐ|He earns money by teaching piano.|to get money by working
exchange|thinking|~🔁|交換する|Let's exchange email addresses.|to give something and get something else back
expect|thinking|~🔮|予期する・期待する|I expect it will rain tomorrow.|to think that something will happen
express|thinking|~💬❤️|表現する|It is hard to express my feelings in English.|to show a feeling or idea with words or actions
include|thinking|~➕|含む|The price includes breakfast.|to have something as one of its parts
invent|thinking|~💡🔧|発明する|Who invented the telephone?|to make something new for the first time
manage|thinking|~📋|経営する・何とかやり遂げる|She manages a small shop.|to control or run something; or to do something difficult
mention|thinking|~💬|言及する|He mentioned your name.|to talk about something briefly
offer|thinking|~🫴|申し出る・提供する|He offered me a cup of tea.|to ask if someone wants something
perform|thinking|~🎭|演じる・演奏する|The band will perform tonight.|to act, sing, or play music for people
prefer|thinking|~👉❤️|〜の方を好む|I prefer tea to coffee.|to like one thing more than another
prevent|thinking|~🛡️|防ぐ|Washing your hands prevents colds.|to stop something from happening
produce|thinking|~🏭|生産する|This farm produces milk.|to make or grow something
provide|thinking|~📦|提供する|The school provides lunch.|to give something that people need
receive|thinking|~📬|受け取る|I received a letter from my friend.|to get something that someone gives or sends
